,name,price,days,rooms,bathrooms,capacity,date,province
393,avenida 2 e 110 y 111,700,,,,,25-11-2023,buenos-aires
394,avenida 1 e 105 y 107,900,,,,,25-11-2023,buenos-aires
395,bolivar 1200 piso 7,60000,,2,,,25-11-2023,buenos-aires
396,ministro brin 2900,150000,,,,,25-11-2023,buenos-aires
397,ministro brin 2900,120000,,,,,25-11-2023,buenos-aires
398,bouquet iii,,,2,,,25-11-2023,buenos-aires
399,av del mar y caracol 100,,,2,2,,25-11-2023,buenos-aires
400,paseo 140 100 piso 1,1000,,1,1,,25-11-2023,buenos-aires
401,helios 400,120,,2,2,,25-11-2023,buenos-aires
402,sarmiento al 100  martinez,,,3,,,25-11-2023,buenos-aires
403,alberdi 500 piso 13,1600000,,3,,,25-11-2023,buenos-aires
404,av libertador 2300 piso 7,,,2,,,25-11-2023,buenos-aires
405,vicente lopez 300 piso 6,,,2,,,25-11-2023,buenos-aires
406,bouquet iii,,,2,,,25-11-2023,buenos-aires
407,alquiler anual y temporal lagoon pilar,1500,,1,1,,25-11-2023,buenos-aires
